start_time_ms,open,high,low,close,volume,turnover
1755820800000,112462.7,112724.2,112430.2,112657.4,742.769,83613869.1472
1755821700000,112657.4,112766.8,112576.4,112614.9,354.152,39902222.3163
1755822600000,112614.9,112818.9,112590,112667.5,306.212,34511946.6125
1755823500000,112667.5,112682.6,112522.2,112594.7,193.922,21830288.4985
1755824400000,112594.7,112642.9,112277.2,112340.1,442.791,49770600.9755
1755825300000,112340.1,112745.2,112340,112735.8,349.865,39407282.6981
1755826200000,112735.8,112892.2,112663.8,112870,419.071,47256143.1417
1755827100000,112870,112877.6,112734.2,112801.3,172.522,19463535.5631
1755828000000,112801.3,113160.1,112736.8,113151.3,987.031,111542368.5279
1755828900000,113151.3,113499.9,112972.8,113457.4,2002.066,226827329.3572
1755829800000,113457.4,113478.3,113213,113270.6,1140.437,129291095.2861
1755830700000,113270.6,113398.4,113100,113123.1,505.198,57201704.261
1755831600000,113123.1,113416.3,113080.7,113318.4,367.018,41560390.4646
1755832500000,113318.4,113318.4,113150,113173.5,255.553,28930134.3548
1755833400000,113173.5,113278.4,113054,113077.8,403.531,45665627.2797
1755834300000,113077.8,113088.8,112851.7,112903.7,721.162,81460877.8183
1755835200000,112903.7,113140.2,112892.4,113060.1,496.628,56141420.8506
1755836100000,113060.1,113231.7,112998.2,113026.6,499.948,56556435.6991
1755837000000,113026.6,113188.6,112961.3,113050.1,183.823,20784714.1789
1755837900000,113050.1,113053.3,112667.8,112814.5,633.219,71442825.7562
1755838800000,112814.5,113007.8,112805.1,113000.1,308.336,34817365.0757
1755839700000,113000.1,113043.6,112834.1,112916.8,213.04,24058749.0177
1755840600000,112916.8,113184.2,112916.8,113094,268.042,30304038.5601
1755841500000,113094,113260.5,113093.9,113210.1,252.82,28619892.1556
1755842400000,113210.1,113295.7,113020,113272.6,240.872,27256623.2127
1755843300000,113272.6,113364.4,113150,113209.9,483.337,54750549.593
1755844200000,113209.9,113258.1,112792.4,112887.1,536.187,60553706.8325
1755845100000,112887.1,113052.1,112814.6,112955.3,305.108,34462543.0849
1755846000000,112955.3,113170.5,112913,113107.5,434.277,49124508.7652
1755846900000,113107.5,113226.6,112905.2,113134.4,299.496,33864175.241
1755847800000,113134.4,113190.7,113070,113174.6,327.204,37020993.5503
1755848700000,113174.6,113187.6,113033.9,113050.8,326.758,36957851.3588
1755849600000,113050.8,113254.3,113011,113238.4,570.7,64570995.4235
1755850500000,113238.4,113280,113066.7,113220.6,703.696,79652768.3315
1755851400000,113220.6,113239.2,112950,113050,434.046,49071343.0551
1755852300000,113050,113050,112905.4,112949,199.147,22495073.3128
1755853200000,112949,112990,112813.4,112843.8,422.93,47735832.6788
1755854100000,112843.8,112958.1,112822.1,112934.7,168.668,19039195.4978
1755855000000,112934.7,113018.9,112767.3,112861.4,322.373,36385204.6577
1755855900000,112861.4,113106.7,112846.2,113035.3,749.539,84677911.0865
1755856800000,113035.3,113049.6,112743.4,112743.4,323.676,36529120.9304
1755857700000,112743.4,112743.5,112611.9,112700,400.738,45157526.1867
1755858600000,112700,112700,112529.8,112550.7,397.161,44717668.6908
1755859500000,112550.7,112622.1,112485,112511.5,419.059,47159565.8938
1755860400000,112511.5,112607.4,112256.8,112284.7,1015.536,114121901.7051
1755861300000,112284.7,112370.3,112230.4,112248.2,449.143,50430010.2404
1755862200000,112248.2,112315.4,112137.8,112208.8,449.829,50476161.4472
1755863100000,112208.8,112358.1,112208.8,112280,293.968,33015083.6798
1755864000000,112280,112331.9,111934,112043.9,1664.912,186579821.2687
1755864900000,112043.9,112163.4,111951.5,112010.6,890.445,99749373.2277
1755865800000,112010.6,112250,111618.8,112245.4,4121.773,460965462.9483
1755866700000,112245.4,112683.7,112185,112302.5,2327.705,261762036.0906
1755867600000,112302.5,112494.5,112125.8,112159.9,601.457,67549066.8803
1755868500000,112159.9,112319.8,112020,112249.9,1033.824,115998410.7018
1755869400000,112249.9,112620,111864.9,112444.7,2148.346,241079794.0129
1755870300000,112444.7,112621.6,112277.9,112430.5,1583.859,178145055.5561
1755871200000,112430.5,115160.3,112417.9,115142.7,16341.938,1866208683.1914
1755872100000,115142.7,115729.8,114528,115128.6,8892.18,1023536759.4137
1755873000000,115128.6,116000,115128.6,115717.2,5914.555,683982867.7042
1755873900000,115717.2,116064,115663.1,115746,2924.281,338934008.3198
1755874800000,115746,116680,115741.7,116575.2,4507.793,524765084.268
1755875700000,116575.2,116909,116531.4,116665,2757.984,321957907.33
1755876600000,116665,116900,116605.1,116876,1794.931,209629626.3218
1755877500000,116876,117276.2,116313.7,116313.7,4695.912,548892780.2747
1755878400000,116313.7,116771.8,116313.7,116533.2,2601.429,303167817.9765
1755879300000,116533.2,116533.2,116075,116356,2362.246,274646191.838
1755880200000,116356,116493.7,116326.4,116394.1,913.236,106315722.7841
1755881100000,116394.1,116399.1,116042.1,116088.6,1082.235,125753932.6741
1755882000000,116088.6,116706,116088.6,116696,1877.241,218618185.0059
1755882900000,116696,116965.2,116678.6,116885.9,1986.804,232065179.7052
1755883800000,116885.9,116887.4,116466.7,116699.9,1711.123,199569565.3246
1755884700000,116699.9,116966.3,116601.9,116941.2,730.917,85346686.8249
1755885600000,116941.2,117367.2,116941.2,117337.9,1668.245,195435762.6133
1755886500000,117337.9,117374.5,116740.4,116827.6,1552.918,181793195.4382
1755887400000,116827.6,117100,116821.9,116850.6,571.058,66788898.112
1755888300000,116850.6,116850.6,116682.1,116752.2,334.586,39064574.3354
1755889200000,116752.2,116868.8,116671.5,116839.3,337.565,39413803.7495
1755890100000,116839.3,116850,116673.3,116673.3,256.362,29932460.8743
1755891000000,116673.3,116730.3,116562.5,116643.5,546.747,63766547.787
1755891900000,116643.5,116690,116433.1,116604.4,744.181,86738413.6618
1755892800000,116604.4,116829.6,116518.3,116806.6,724.902,84599415.7515
1755893700000,116806.6,117066.9,116803.1,117057.2,714.585,83576234.5884
1755894600000,117057.2,117060,116835.7,116983.7,529.125,61879005.7266
1755895500000,116983.7,117037.1,116835,117022.1,620.759,72581723.8934
1755896400000,117022.1,117044,116811.1,116826.6,805.857,94222594.9057
1755897300000,116826.6,116988,116769.6,116914.1,363.287,42456308.8613
1755898200000,116914.1,116992.3,116842.8,116984.2,249.57,29183003.9462
1755899100000,116984.2,117144.6,116921.3,116991.5,370.82,43392884.4878
1755900000000,116991.5,117010.4,116674.1,116741.9,610.16,71272707.5622
1755900900000,116741.9,116810,116521.5,116592.6,544.261,63485196.4227
1755901800000,116592.6,116710.7,116522.7,116626.6,435.006,50729832.5276
1755902700000,116626.6,116745.1,116626.5,116729.9,223.872,26124413.9929
1755903600000,116729.9,116802,116635.6,116635.6,182.846,21345859.3707
1755904500000,116635.6,116716.1,116635.6,116693,133.655,15595637.8287
1755905400000,116693,116860,116685.6,116844.1,230.421,26900674.6346
1755906300000,116844.1,116900,116796.9,116899.8,139.186,16263858.7935
1755907200000,116899.8,116930,116670.8,116681.7,332.569,38841424.4135
1755908100000,116681.7,116973.4,116680.5,116910.9,356.251,41621506.0206
1755909000000,116910.9,116998,116800,116807.3,249.586,29185835.4974
1755909900000,116807.3,116939.6,116807.2,116830.2,119.209,13932885.4076
1755910800000,116830.2,116844.4,116740,116777,117.697,13745596.0831
1755911700000,116777,116777,116550,116550,341.983,39893191.3881
1755912600000,116550,116630.9,116265,116277.1,993.642,115669702.6786
1755913500000,116277.1,116460,116277,116417.3,284.083,33065715.6112
1755914400000,116417.3,116514.5,116145.9,116191.6,577.276,67133203.4196
1755915300000,116191.6,116263.6,115850,115850.1,1505.594,174666356.4737
1755916200000,115850.1,116003.9,115452,115830,2393.586,276906080.6375
1755917100000,115830,116079.9,115727.6,115895.5,882.2,102302793.6834
1755918000000,115895.5,116026.3,115666.6,115962.1,503.561,58334542.6034
1755918900000,115962.1,115962.1,115600,115675.3,674.928,78108745.0717
1755919800000,115675.3,115694.5,115439,115442.3,482.918,55791140.5645
1755920700000,115442.3,115616,115432,115530.1,428.052,49454974.8712
1755921600000,115530.1,115744,115503.9,115726,356.413,41210641.3206
1755922500000,115726,115745.9,115613.8,115680.6,363.436,42041828.0166
1755923400000,115680.6,115941.4,115674.7,115846.1,735.373,85165378.5152
1755924300000,115846.1,115887.2,115734.3,115880.7,238.085,27572771.8471
1755925200000,115880.7,115926.4,115759,115825.2,335.784,38895939.8454
1755926100000,115825.2,115959.4,115820,115908.6,215.203,24941587.2864
1755927000000,115908.6,115998,115886.5,115935.7,237.414,27529763.332
1755927900000,115935.7,116000,115860.7,115920.7,207.091,24010661.6394
1755928800000,115920.7,115999.6,115791,115812.3,284.093,32922360.1235
1755929700000,115812.3,115846.5,115725,115747.6,433.337,50175168.38
1755930600000,115747.6,115838.2,115725.3,115725.5,301.957,34963112.3
1755931500000,115725.5,115808.6,115661.8,115750.6,237.972,27538842.907
1755932400000,115750.6,115864.7,115650,115838.2,201.36,23308961.6294
1755933300000,115838.2,115869.8,115704.2,115707.9,182.756,21161515.642
1755934200000,115707.9,115908.9,115636.4,115864.1,403.057,46651794.7744
1755935100000,115864.1,115864.1,115731.5,115788.4,151.302,17516445.1406
1755936000000,115788.4,115861.5,115781.3,115801.3,168.206,19481665.847
1755936900000,115801.3,115843.2,115601.2,115641,248.861,28792394.6788
1755937800000,115641,115805.2,115581.6,115805.1,260.687,30164322.4914
1755938700000,115805.1,115845.3,115720.1,115720.6,117.388,13590497.0766
1755939600000,115720.6,115772.8,115595,115641.1,176.325,20393684.7983
1755940500000,115641.1,115641.1,115580.6,115597.7,152.041,17576245.4371
1755941400000,115597.7,115683.3,115597.7,115671.9,183.862,21262711.1395
1755942300000,115671.9,115748,115598.6,115746.1,237.301,27449666.0841
1755943200000,115746.1,115756.8,115624.9,115640,371.231,42944646.6131
1755944100000,115640,115644.8,115573.3,115584.3,203.998,23582841.9654
1755945000000,115584.3,115624.9,115572.7,115586.1,122.252,14132111.7845
1755945900000,115586.1,115594,115550,115550,88.017,10172271.9451
1755946800000,115550,115591.1,115500.1,115565.2,329.816,38105285.6448
1755947700000,115565.2,115609,115489,115489,319.309,36896263.1923
1755948600000,115489,115538.5,115432,115432,391.126,45163919.8153
1755949500000,115432,115485.6,115180,115270,1272.287,146716397.5493
1755950400000,115270,115411.7,115157.4,115358.9,660.1,76092913.399
1755951300000,115358.9,115457.9,115304.4,115324.1,456.307,52642017.1272
1755952200000,115324.1,115445.9,115263.1,115365.2,464.877,53629896.138
1755953100000,115365.2,115406.8,115135.2,115191.9,308.126,35506695.0659
1755954000000,115191.9,115191.9,115113.9,115150,332.414,38276529.2318
1755954900000,115150,115157.6,114958.6,114996.6,626.955,72125882.4292
1755955800000,114996.6,115004.1,114713.7,114927.7,3358.65,385672329.3012
1755956700000,114927.7,115090,114800.4,114833.9,914.303,105095089.3294
1755957600000,114833.9,114926,114789.1,114894.5,618.425,71023825.4125
1755958500000,114894.5,115051.3,114833.1,115007.3,696.135,80026870.2259
1755959400000,115007.3,115066.8,114678.6,114700,912.46,104762879.2907
1755960300000,114700,114796.2,114531.2,114602.3,1311.864,150400316.8743
1755961200000,114602.3,114708.8,114504.7,114696.3,959.58,109985891.557
1755962100000,114696.3,114922.6,114682.6,114869.9,1304.78,149816899.2558
1755963000000,114869.9,114936.3,114805.4,114869.8,317.029,36418744.271
1755963900000,114869.8,114907.4,114781.7,114792.4,315.745,36262575.1172
1755964800000,114792.4,114818.9,114660.9,114716,224.876,25805174.065
1755965700000,114716,114960.2,114712.9,114851,534.831,61423000.618
1755966600000,114851,114878,114752.2,114784.4,167.347,19216160.1901
1755967500000,114784.4,115092.8,114784.3,114996.7,614.058,70617282.7205
1755968400000,114996.7,115129.9,114980.3,115125.7,894.02,102875467.2679
1755969300000,115125.7,115125.7,114892.6,114991.6,699.571,80446631.4364
1755970200000,114991.6,115183.2,114986.7,115088.4,513.137,59052038.4423
1755971100000,115088.4,115126.1,115064.8,115099.5,90.595,10426577.5994
