start_time_ms,open,high,low,close,volume,turnover
1755820800000,4224.08,4314.21,4220.12,4277.07,298780.78,1276996140.1787
1755835200000,4277.07,4344.03,4271,4326.08,296724.4,1276931222.2748
1755849600000,4326.08,4353,4270.98,4272.97,320441.19,1381459022.7781
1755864000000,4272.97,4666.61,4206.26,4613.88,1984112.3,8890585793.9992
1755878400000,4613.88,4859.99,4613.39,4832.36,1146780.74,5476856155.8833
1755892800000,4832.36,4888,4794.35,4831.62,518323.66,2510520175.0907
1755907200000,4831.62,4831.7,4661.39,4695.19,522491.43,2473092937.8395
1755921600000,4695.19,4765.82,4694.01,4712.99,299457.39,1417865685.9158
1755936000000,4712.99,4746,4688,4703.8,214118.87,1010196729.7756
1755950400000,4703.8,4767.93,4691.2,4748.8,268492.45,1270198625.9172
1755964800000,4748.8,4760.57,4724.15,4756.71,137775.52,653995979.6526
1755979200000,4756.71,4795.96,4735.3,4776.12,118977.21,567178933.3915
1755993600000,4776.12,4816.87,4749.82,4787.74,202982.54,970869252.3231
1756008000000,4787.74,4799.48,4755,4757.22,133468.13,637351191.7633
1756022400000,4757.22,4784.99,4716.48,4746.33,204863.56,973214663.4655
1756036800000,4746.33,4830,4736.64,4796.41,308675.04,1478139180.8771
1756051200000,4796.41,4957.96,4743.49,4813.14,1096593.77,5327470121.259
1756065600000,4813.14,4823,4706.11,4779.11,640732.17,3056581963.2094
1756080000000,4779.11,4798.07,4668.33,4725.71,382685.92,1810596780.3834
1756094400000,4725.71,4738.1,4579.61,4589.75,515792.75,2401272539.7127
1756108800000,4589.75,4614.77,4518,4597.7,588149.51,2690172007.5744
1756123200000,4597.7,4682.88,4583,4610.36,635490.1,2944021744.389
1756137600000,4610.36,4643.4,4413.47,4418.18,648070.76,2944593293.5257
1756152000000,4418.18,4443.68,4330.39,4374,807737.28,3537827529.9258
1756166400000,4374,4448.44,4308.6,4400.27,611533.84,2677925608.5047
1756180800000,4400.27,4452.64,4391.48,4427.03,272984.09,1207666163.5776
1756195200000,4427.03,4464.1,4403.01,4425.54,249361.88,1104088918.3607
1756209600000,4425.54,4578.08,4403.06,4516.63,910076.17,4095531288.189
1756224000000,4516.63,4595.88,4496.27,4594,401094.81,1820390754.6722
